,Intolerance,wealth_intolerance,Avg pct similar neighbors
198,0.25,0.25,62.3
199,0.25,0.25,62.3
200,0.25,0.25,62.3
201,0.25,0.25,62.3
202,0.25,0.25,62.3
203,0.25,0.25,62.3
204,0.25,0.25,0.0
205,0.25,0.25,0.0
206,0.25,0.25,51.8
207,0.25,0.25,55.9
208,0.25,0.25,57.5
209,0.25,0.25,57.6
210,0.25,0.25,58.3
211,0.25,0.25,58.9
212,0.25,0.25,59.0
213,0.25,0.25,59.2
214,0.25,0.25,59.3
215,0.25,0.25,59.3
216,0.25,0.25,59.3
217,0.25,0.25,59.3
218,0.25,0.25,59.3
219,0.25,0.25,59.3
220,0.25,0.25,59.3
221,0.25,0.25,59.3
222,0.25,0.25,59.3
223,0.25,0.25,59.3
224,0.25,0.25,59.3
225,0.25,0.25,59.3
226,0.25,0.25,59.3
227,0.25,0.25,59.3
228,0.25,0.25,59.3
229,0.25,0.25,59.3
230,0.25,0.25,59.3
231,0.25,0.25,59.3
232,0.25,0.25,59.3
233,0.25,0.25,59.3
234,0.25,0.25,59.3
235,0.25,0.25,59.3
236,0.25,0.25,59.3
237,0.25,0.25,59.3
238,0.25,0.25,59.3
239,0.25,0.25,59.3
240,0.25,0.25,59.3
241,0.25,0.25,59.3
242,0.25,0.25,59.3
243,0.25,0.25,59.3
244,0.25,0.25,59.3
245,0.25,0.25,59.3
246,0.25,0.25,59.3
247,0.25,0.25,59.3
248,0.25,0.25,59.3
249,0.25,0.25,59.3
250,0.25,0.25,59.3
251,0.25,0.25,59.3
252,0.25,0.25,59.3
253,0.25,0.25,59.3
254,0.25,0.25,59.3
255,0.25,0.25,0.0
256,0.25,0.25,0.0
257,0.25,0.25,53.5
258,0.25,0.25,56.4
259,0.25,0.25,57.2
260,0.25,0.25,57.1
261,0.25,0.25,57.2
262,0.25,0.25,57.4
263,0.25,0.25,57.6
264,0.25,0.25,57.6
265,0.25,0.25,57.6
266,0.25,0.25,57.6
267,0.25,0.25,57.6
268,0.25,0.25,57.6
269,0.25,0.25,57.6
270,0.25,0.25,57.6
271,0.25,0.25,57.6
272,0.25,0.25,57.6
273,0.25,0.25,57.6
274,0.25,0.25,57.6
275,0.25,0.25,57.6
276,0.25,0.25,57.6
277,0.25,0.25,57.6
278,0.25,0.25,57.6
279,0.25,0.25,57.6
280,0.25,0.25,57.6
281,0.25,0.25,57.6
282,0.25,0.25,57.6
283,0.25,0.25,57.6
284,0.25,0.25,57.6
285,0.25,0.25,57.6
286,0.25,0.25,57.6
287,0.25,0.25,57.6
288,0.25,0.25,57.6
289,0.25,0.25,57.6
290,0.25,0.25,57.6
291,0.25,0.25,57.6
292,0.25,0.25,57.6
293,0.25,0.25,57.6
294,0.25,0.25,57.6
295,0.25,0.25,57.6
296,0.25,0.25,57.6
297,0.25,0.25,57.6
298,0.25,0.25,57.6
299,0.25,0.25,57.6
300,0.25,0.25,57.6
301,0.25,0.25,57.6
302,0.25,0.25,57.6
303,0.25,0.25,57.6
304,0.25,0.25,57.6
305,0.25,0.25,57.6
306,0.25,0.25,0.0
307,0.25,0.25,0.0
308,0.25,0.25,52.0
309,0.25,0.25,56.0
310,0.25,0.25,56.9
311,0.25,0.25,57.6
312,0.25,0.25,57.6
313,0.25,0.25,57.7
314,0.25,0.25,58.0
315,0.25,0.25,58.1
316,0.25,0.25,58.1
317,0.25,0.25,58.1
318,0.25,0.25,58.1
319,0.25,0.25,58.1
320,0.25,0.25,58.1
321,0.25,0.25,58.1
322,0.25,0.25,58.1
323,0.25,0.25,58.1
324,0.25,0.25,58.1
325,0.25,0.25,58.1
326,0.25,0.25,58.1
327,0.25,0.25,58.1
328,0.25,0.25,58.1
329,0.25,0.25,58.1
330,0.25,0.25,58.1
331,0.25,0.25,58.1
332,0.25,0.25,58.1
333,0.25,0.25,58.1
334,0.25,0.25,58.1
335,0.25,0.25,58.1
336,0.25,0.25,58.1
337,0.25,0.25,58.1
338,0.25,0.25,58.1
339,0.25,0.25,58.1
340,0.25,0.25,58.1
341,0.25,0.25,58.1
342,0.25,0.25,58.1
343,0.25,0.25,58.1
344,0.25,0.25,58.1
345,0.25,0.25,58.1
346,0.25,0.25,58.1
347,0.25,0.25,58.1
348,0.25,0.25,58.1
349,0.25,0.25,58.1
350,0.25,0.25,58.1
351,0.25,0.25,58.1
352,0.25,0.25,58.1
353,0.25,0.25,58.1
354,0.25,0.25,58.1
355,0.25,0.25,58.1
356,0.25,0.25,58.1
357,0.25,0.25,0.0
358,0.25,0.25,0.0
359,0.25,0.25,54.3
360,0.25,0.25,56.7
361,0.25,0.25,57.4
362,0.25,0.25,58.3
363,0.25,0.25,58.8
364,0.25,0.25,58.9
365,0.25,0.25,59.0
366,0.25,0.25,59.0
367,0.25,0.25,59.1
368,0.25,0.25,59.0
369,0.25,0.25,59.2
370,0.25,0.25,59.2
371,0.25,0.25,59.2
372,0.25,0.25,59.2
373,0.25,0.25,59.2
374,0.25,0.25,59.2
375,0.25,0.25,59.2
376,0.25,0.25,59.2
377,0.25,0.25,59.2
378,0.25,0.25,59.2
379,0.25,0.25,59.2
380,0.25,0.25,59.2
381,0.25,0.25,59.2
382,0.25,0.25,59.2
383,0.25,0.25,59.2
384,0.25,0.25,59.2
385,0.25,0.25,59.2
386,0.25,0.25,59.2
387,0.25,0.25,59.2
388,0.25,0.25,59.2
389,0.25,0.25,59.2
390,0.25,0.25,59.2
391,0.25,0.25,59.2
392,0.25,0.25,59.2
393,0.25,0.25,59.2
394,0.25,0.25,59.2
395,0.25,0.25,59.2
396,0.25,0.25,59.2
397,0.25,0.25,59.2
398,0.25,0.25,59.2
399,0.25,0.25,59.2
400,0.25,0.25,59.2
401,0.25,0.25,59.2
402,0.25,0.25,59.2
403,0.25,0.25,59.2
404,0.25,0.25,59.2
405,0.25,0.25,59.2
406,0.25,0.25,59.2
407,0.25,0.25,59.2
408,0.25,0.25,0.0
409,0.25,0.25,0.0
410,0.25,0.25,54.2
411,0.25,0.25,57.0
412,0.25,0.25,57.6
413,0.25,0.25,57.7
414,0.25,0.25,57.9
415,0.25,0.25,57.9
416,0.25,0.25,57.9
417,0.25,0.25,57.9
418,0.25,0.25,57.9
419,0.25,0.25,57.9
420,0.25,0.25,57.9
421,0.25,0.25,57.9
422,0.25,0.25,57.9
423,0.25,0.25,57.9
424,0.25,0.25,57.9
425,0.25,0.25,57.9
426,0.25,0.25,57.9
427,0.25,0.25,57.9
428,0.25,0.25,57.9
429,0.25,0.25,57.9
430,0.25,0.25,57.9
431,0.25,0.25,57.9
432,0.25,0.25,57.9
433,0.25,0.25,57.9
434,0.25,0.25,57.9
435,0.25,0.25,57.9
436,0.25,0.25,57.9
